empresa_estacao,COD_AREA,COD_UF,UF,cidade,COD_IBGE,situacao,TCN_2G,TCN_3G,TCN_4G,TCN_5G
TIM,65,51,Mato Grosso,Poconé,5106505,Licenciada,1,1,4,null
VIVO,88,23,Ceará,Senador Pompeu,2312700,Licenciada,null,5,4,null
VIVO,87,26,Pernambuco,Poção,2611200,Licenciada,null,1,1,null
TIM,54,43,Rio Grande do Sul,Ibiraiaras,4309902,Licenciada,null,null,2,null
BRISANET,88,23,Ceará,Meruoca,2308203,Licenciada,null,null,1,null
TIM,86,22,Piauí,Monsenhor Gil,2206407,Licenciada,1,null,1,null
CLARO,83,25,Paraíba,Livramento,2508505,Licenciada,null,1,1,null
VIVO,62,52,Goiás,São Patrício,5220280,Licenciada,null,null,2,null
CLARO,27,32,Espírito Santo,Ecoporanga,3202108,Licenciada,2,null,2,null
TIM,63,17,Tocantins,Pau D'Arco,1716307,Licenciada,null,null,1,null
CLARO,47,42,Santa Catarina,Guabiruba,4206306,Licenciada,4,4,6,null
CLARO,11,35,São Paulo,Tuiuti,3554953,Licenciada,3,2,3,null
CLARO,37,31,Minas Gerais,Piumhi,3151503,Licenciada,4,2,4,null
TIM,62,52,Goiás,Santa Rosa de Goiás,5219506,Licenciada,null,null,1,null
TIM,66,51,Mato Grosso,Guiratinga,5104203,Licenciada,null,2,2,null
TIM,53,43,Rio Grande do Sul,Hulha Negra,4309654,Licenciada,null,null,1,null
TIM,77,29,Bahia,Encruzilhada,2910404,Licenciada,null,null,3,null
TIM,31,31,Minas Gerais,Araçaí,3103207,Licenciada,null,null,1,null
TIM,38,31,Minas Gerais,São João do Pacuí,3162658,Licenciada,null,null,1,null
VIVO,19,35,São Paulo,Rio das Pedras,3544004,Licenciada,1,2,3,1
TIM,47,42,Santa Catarina,Balneário Camboriú,4202008,Licenciada,25,33,60,15
TIM,55,43,Rio Grande do Sul,São Valério do Sul,4319737,Licenciada,1,1,1,null
CLARO,19,35,São Paulo,Conchal,3512209,Licenciada,3,3,3,null
TIM,42,41,Paraná,Castro,4104907,Licenciada,7,12,13,4
CLARO,14,35,São Paulo,Santa Cruz do Rio Pardo,3546405,Licenciada,5,6,9,null
CLARO,13,35,São Paulo,Pedro de Toledo,3537206,Licenciada,2,1,2,null
CLARO,48,42,Santa Catarina,Siderópolis,4217600,Licenciada,2,2,2,null
CLARO,11,35,São Paulo,Carapicuíba,3510609,Licenciada,17,20,35,26
VIVO,17,35,São Paulo,Nhandeara,3532603,Licenciada,1,2,2,null
CLARO,98,21,Maranhão,São José de Ribamar,2111201,Licenciada,16,19,19,2
CLARO,45,41,Paraná,Céu Azul,4105300,Licenciada,2,1,2,null
TIM,51,43,Rio Grande do Sul,Tramandaí,4321600,Licenciada,5,5,13,null
TIM,28,32,Espírito Santo,São José do Calçado,3204807,Licenciada,1,2,1,null
TIM,63,17,Tocantins,Porto Nacional,1718204,Licenciada,7,7,9,3
VIVO,35,31,Minas Gerais,Bueno Brandão,3109105,Licenciada,1,1,1,null
CLARO,99,21,Maranhão,Alto Parnaíba,2100501,Licenciada,1,1,1,null
VIVO,82,27,Alagoas,Porto Real do Colégio,2707503,Licenciada,3,3,2,null
CLARO,64,52,Goiás,Bom Jardim de Goiás,5203401,Licenciada,2,2,2,null
TIM,75,29,Bahia,Palmeiras,2923506,Licenciada,1,1,1,null
CLARO,33,31,Minas Gerais,Itinga,3134004,Licenciada,1,1,1,null
CLARO,94,15,Pará,Santana do Araguaia,1506708,Licenciada,1,2,2,null
VIVO,35,31,Minas Gerais,Caxambu,3115508,Licenciada,2,2,2,null
